citation,author,year,table_figure,total,fix_needed,fix_completed,remove
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl6...9,109,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl12...10,149.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...10,199.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...11,198,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...3,199.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...4,200.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...5,200,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...6,199.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...7,202,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...8,192.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl4...9,197,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl11...15,112,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).",Cable,1923,tbl11...9,109.5,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Driscoll, M. P., & Miranda, L. E. (1999). Diet ecology of yellow bass, Morone mississippiensis, in an oxbow of the Mississippi River. Journal of Freshwater Ecology, 14(4), 477-486.",Driscoll&Miranda,1999,tbl1...4,179,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Driscoll, M. P., & Miranda, L. E. (1999). Diet ecology of yellow bass, Morone mississippiensis, in an oxbow of the Mississippi River. Journal of Freshwater Ecology, 14(4), 477-486.",Driscoll&Miranda,1999,tbl1...5,192,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Dutton, A. J. (2018). Feeding ecology and food-web interactions of the fish assemblage in the upper Missouri River and lower Yellowstone River with an emphasis on pallid sturgeon conservation (Doctoral dissertation, Montana State University-Bozeman, College of Letters & Science).",Dutton,2018,tbl2.3...7,411.8,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Dutton, A. J. (2018). Feeding ecology and food-web interactions of the fish assemblage in the upper Missouri River and lower Yellowstone River with an emphasis on pallid sturgeon conservation (Doctoral dissertation, Montana State University-Bozeman, College of Letters & Science).",Dutton,2018,tbl2.3...5,1015,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Dutton, A. J. (2018). Feeding ecology and food-web interactions of the fish assemblage in the upper Missouri River and lower Yellowstone River with an emphasis on pallid sturgeon conservation (Doctoral dissertation, Montana State University-Bozeman, College of Letters & Science).",Dutton,2018,tbl2.3...9,560,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Dutton, A. J. (2018). Feeding ecology and food-web interactions of the fish assemblage in the upper Missouri River and lower Yellowstone River with an emphasis on pallid sturgeon conservation (Doctoral dissertation, Montana State University-Bozeman, College of Letters & Science).",Dutton,2018,tbl2.3...3,725,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Huish, M. T. (1957). Food habits of three centrarchidae in Lake George, Florida. In Proc. Ann. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302).",Huish,1957,tbl3,730,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Huish, M. T. (1957). Food habits of three centrarchidae in Lake George, Florida. In Proc. Ann. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302).",Huish,1957,tbl2,105.1003,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Huish, M. T. (1957). Food habits of three centrarchidae in Lake George, Florida. In Proc. Ann. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302).",Huish,1957,tbl1,108.7002,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Huish, M. T. (1957). Food habits of three centrarchidae in Lake George, Florida. In Proc. Ann. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302).",Huish,1957,tbl1,102,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Huish, M. T. (1957). Food habits of three centrarchidae in Lake George, Florida. In Proc. Ann. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302).",Huish,1957,tbl3,2393,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Keast, A. (1968). Feeding biology of the black crappie, Pomoxis nigromaculatus. Journal of the Fisheries Board of Canada, 25(2), 285-297.",Keast,1968,tbl1,104,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Keast, A. (1978). Feeding interrelations between age-groups of pumpkinseed (Lepomis gibbosus) and comparisons with bluegill (L. macrochirus). Journal of the Fisheries Board of Canada, 35(1), 12-27.",Keast,1978,tbl2,103,re-extract(it keeps coming up in errors. Just re-do it with current analyiss,,yes
"Applegate, R. L., & Mullan, J. W. (1967). Food of the black bullhead (Ictalurus melas) in a new reservoir. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 20, pp. 288-292).",Applegate&Mullan,1967,tbl1a,172.0001,re-extract(taxa_headings_included in original,,yes
"Applegate, R. L., & Mullan, J. W. (1967). Food of the black bullhead (Ictalurus melas) in a new reservoir. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 20, pp. 288-292).",ApplegateEtAl.,1967,tbl1b,101.0002,re-extract(taxa_headings_included in original,,yes
"Applegate, R. L., & Mullan, J. W. (1967). Food of the black bullhead (Ictalurus melas) in a new reservoir. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 20, pp. 288-292).",ApplegateEtAl.,1967,tbl1b,101.0001,re-extract(taxa_headings_included in original,,yes
"Applegate, R. L., & Mullan, J. W. (1967). Food of the black bullhead (Ictalurus melas) in a new reservoir. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 20, pp. 288-292).",Applegate&Mullan,1967,tbl1a,101.4001,re-extract(taxa_headings_included in original,,yes
"Applegate, R. L., & Mullan, J. W. (1967). Food of the black bullhead (Ictalurus melas) in a new reservoir. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 20, pp. 288-292).",ApplegateEtAl.,1967,tbl1b,199.0003,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,103,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,196,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,197,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,106,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,146,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,125,re-extract(taxa_headings_included in original,,yes
"Rice, L. A. (1942). The food of seventeen Reelfoot Lake fishes in 1941. J. Tenn. Acad. Sci, 17(1), 4-13.",Rice,1942,tbl2,193,re-extract(taxa_headings_included in original,,yes
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,102.2,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,104.4,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,104.2,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,103,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,105.1,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,101.8,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,104.7,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,106.4,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,107.4,replace 0.5 with trace value,,no
"Reinthal, PN. 1990. The feeding habits of a group of herbivorous rock-dewlling cichlid fishes (Cichlidae: Perciformes) from Lake Malawi, Africa",Reinthal,1990,tbl1,102.7,replace 0.5 with trace value,,no
"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake M<fd>vatn. Oikos, 228-231.",Adalsteinsson,1979,table 2,105,,,no
"Allin, A. E. (1929). Seining records and food of the intermediate stages of Lake Erie fishes. A biological survey of the Erie-Niagara system. Suppl. 18th Ann. Rept.(1928), New York Conserv. Dept, 95-99.",Allin,1928,tbl29...51,110,,,no
"Allin, A. E. (1929). Seining records and food of the intermediate stages of Lake Erie fishes. A biological survey of the Erie-Niagara system. Suppl. 18th Ann. Rept.(1928), New York Conserv. Dept, 95-99.",Allin,1928,tbl29...10,102.0001,,,no
"Allin, A. E. (1929). Seining records and food of the intermediate stages of Lake Erie fishes. A biological survey of the Erie-Niagara system. Suppl. 18th Ann. Rept.(1928), New York Conserv. Dept, 95-99.",Allin,1928,tbl29...61,110,,,no
"Angermeier, P. L. (1985). Spatio-temporal patterns of foraging success for fishes in an Illinois stream. American midland naturalist, 342-359.",Angermeier,1985,appendixA,105,,,no
"de Almeida VLL, Hahn NS, Vazzoler AEA de M. Feeding patterns in
five predatory fishes of the high Parana River floodplain (PR, Brazil).
Ecology of Freshwater Fish 1997: 6: 123-133.",de Almeida,1997,tbl1,101.01,,,no
"Dorgeloh, W. G. (1994). Diet and food selection of Barbus aeneus, Clarias gariepinus and Oncorhynchus mykiss in a clear man-made lake, South Africa. Water SA, 20(1), 91-98.",Dorgeloh,1994,NA,101.5,,,no
"Dorgeloh, W. G. (1994). Diet and food selection of Barbus aeneus, Clarias gariepinus and Oncorhynchus mykiss in a clear man-made lake, South Africa. Water SA, 20(1), 91-98.",Dorgeloh,1994,NA,101.3,,,no
"George, E. L., & Hadley, W. F. (1979). Food and habitat partitioning between rock bass (Ambloplites rupestris) and smallmouth bass (Micropterus dolomieui) young of the year. Transactions of the American Fisheries Society, 108(3), 253-261.",George,1979,tbl3,102,,,no
"Goodson Jr, L. F. (1965). Diets of four warmwater game fishes in a fluctuating, steep-sided, California reservoir. California Fish and Game, 51, 259-269.",Goodson,1965,tbl8,101.4001,,,no
"Mathur, D. (1977). Food habits and competitive relationships of the bandfin shiner in Halawakee Creek, Alabama.<U+00A0>American Midland Naturalist, 89-100.",Mathur,1977,tbl3,103,,,no
