"","fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"110","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"111","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"112","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"113","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"114","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"115","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"116","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"117","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"118","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"119","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"120","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"121","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"122","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"123","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"124","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"125","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"126","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"127","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"128","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"129","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"130","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"131","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"132","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"133","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"134","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"135","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"136","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"137","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"138","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"139","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"140","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,"unknown"
"141","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"142","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"143","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"144","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"145","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"146","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"147","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"148","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"149","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"150","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"151","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"152","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"153","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"154","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"155","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"156","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"157","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"158","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"159","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"160","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms",NA,"unknown"
"161","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"162","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"163","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"164","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"165","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"166","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"167","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"168","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"169","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"170","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"171","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"172","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"173","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"174","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"175","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"176","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"177","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"178","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"179","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"180","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filament algae",NA,"unknown"
"181","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"182","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"183","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"184","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"185","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"186","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"187","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"188","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"189","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"190","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"191","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"192","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"193","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"194","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"195","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"196","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"197","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"198","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"199","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
"200","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detrius ect",NA,"unknown"
