type_of_fish,fish_genus,fish_order,fish_family,fish_class,fish_superclass,fish_species
Chondrostoma polylepis,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Pseudochondrostoma polylepis
Cyprinus carpio,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Cyprinus carpio
Leuciscus pyrenaicus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Squalius pyrenaicus
Rutilus alburnoides,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Squalius alburnoides
Orangebelly darter,NA,Perciformes,Percidae,Actinopterygii,NA,Etheostoma radiosum
Midgley’s gudgeons,NA,Perciformes,Eleotridae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Gambusia holbrooki,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,Osteichthyes,Gambusia holbrooki
Pimelodus pintado,NA,Siluriformes,Pimelodidae,Actinopterygii,Osteichthyes,Pimelodus pintado
Prosopium williamsoni,NA,Salmoniformes,Salmonidae,Actinopterygii,Osteichthyes,Prosopium williamsoni
Synodontis membraneceus,NA,Siluriformes,Mochokidae,Actinopterygii,NA,Synodontis membranaceus
Rainbow trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Oncorhynchus mykiss
Thymallus montanus,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Thymallus arcticus
Salmo salar,NA,Salmoniformes,Salmonidae,Actinopterygii,Osteichthyes,Salmo salar
Lake trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Salvelinus namaycush
Chinhook salmon,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Onchorhynchus tshawytscha
Prosopium-williamsoni,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Prosopium williamsoni
Cutthroat trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Oncorhynchus clarkii
Serrasalmus marginatus,NA,Characiformes,Serrasalmidae,Actinopterygii,NA,Serrasalmus marginatus
Nannatherina balstoni,NA,Perciformes,Percichthyidae,Actinopterygii,Osteichthyes,Nannatherina balstoni
Aplodinotus grunniens,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Aplodinotus grunniens
Valencia letourneuxi,NA,Cyprinodontiformes,Valenciidae,Actinopterygii,Osteichthyes,Valencia letourneuxi
Salmo salar,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Salmo salar
Phoximus phoximus,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Phoxinus phoxinus
Nemacheilus barbatula,NA,Cypriniformes,Nemacheilidae,Actinopterygii,NA,Barbatula barbatula
Arctic charr,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Salvelinus alpinus
Pygocentrus notutus,NA,Characiformes,Characidae,Actinopterygii,NA,Pygocentrus cariba
Schilbe mystus,NA,Siluriformes,Schilbeidae,Actinopterygii,Osteichthyes,Schilbe mystus
Black crappie,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Pomoxis nigromaculatus
Heterotis niloticus,NA,Osteoglossiformes,Arapaimidae,Actinopterygii,Osteichthyes,Heterotis niloticus
Labeo niloticus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Labeo niloticus
Citharinus citharus,NA,Characiformes,Citharinidae,Actinopterygii,Osteichthyes,Citharinus citharus
Citharinus latus,NA,Characiformes,Citharinidae,Actinopterygii,Osteichthyes,Citharinus latus
Sarotherodon galilaeus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Sarotherodon galilaeus
Tilapia zillii,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Coptodon zillii
Alestes macrolepidotus,NA,Characiformes,Alestidae,Actinopterygii,Osteichthyes,Brycinus macrolepidotus
Distichodus rostratus,NA,Characiformes,Distichodontidae,Actinopterygii,Osteichthyes,Distichodus rostratus
Synodontis frontosus,NA,Siluriformes,Mochokidae,Actinopterygii,Osteichthyes,Synodontis frontosus
Brachysynodontis batensoda,NA,Siluriformes,Mochokidae,Actinopterygii,Osteichthyes,Synodontis batensoda
Thoracochromis loati,NA,Cichliformes,Cichlidae,Actinopterygii,NA,Thoracochromis loati
Auchenoglanis biscutatus,NA,Siluriformes,Claroteidae,Actinopterygii,Osteichthyes,Auchenoglanis biscutatus
Synodontis schall,NA,Siluriformes,Mochokidae,Actinopterygii,Osteichthyes,Synodontis schall
Nothobranchius,NA,Cyprinodontiformes,Nothobranchiidae,Actinopterygii,NA,Nothobranchisu sp.
Polypterus senegalus,NA,Polypteriformes,Polypteridae,Actinopterygii,Osteichthyes,Polypterus senegalus
Micralestes acutidens,NA,Characiformes,Alestidae,Actinopterygii,Osteichthyes,Micralestes acutidens
Nannaethiops unitaeniatus,NA,Characiformes,Distichodontidae,Actinopterygii,Osteichthyes,Nannaethiops unitaeniatus
Epiplatys marnoi,NA,Cyprinodontiformes,Nothobranchiidae,Actinopterygii,Osteichthyes,Epiplatys spilargyreius
Hemichromis letourmeauxi,NA,Cichliformes,Cichlidae,Actinopterygii,NA,Hemichromis letourneuxi
Ctenopoma petherici,NA,Perciformes,Anabantidae,Actinopterygii,Osteichthyes,Ctenopoma petherici
Chelaethiops bibie,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Chelaethiops bibie
Hydrocynus forskalii,NA,Characiformes,Alestidae,Actinopterygii,Osteichthyes,Hydrocynus forskahlii
Clarotes laticeps,NA,Siluriformes,Claroteidae,Actinopterygii,Osteichthyes,Clarotes laticeps
Eutropius niloticus,NA,Siluriformes,Schilbeidae,Actinopterygii,Osteichthyes,Schilbe mystus
Hemichromis fasciatus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Hemichromis fasciatus
Channa obscura,NA,Perciformes,Channidae,Actinopterygii,Osteichthyes,Parachanna obscura
Small mouth bass,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Micropterus dolomieu
Yellow perch,NA,Perciformes,Percidae,Actinopterygii,NA,Perca flavescens
Ictalurus punctatus,NA,Siluriformes,Ictaluridae,Actinopterygii,Osteichthyes,Ictalurus punctatus
White sturgeon,NA,Acipenseriformes,Acipenseridae,Actinopterygii,NA,Acipenser transmontanus
Umbra pygmaea,NA,Esociformes,Umbridae,Actinopterygii,Osteichthyes,Umbra pygmaea
Oncorhynchus,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Onchorhynchus sp.
Northern small mouth bass,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Micropterus dolomieu
Striped bass,NA,Perciformes,Moronidae,Actinopterygii,NA,Morone saxatilis
Anguilla reinhardtii,NA,Anguilliformes,Anguillidae,Actinopterygii,Osteichthyes,Anguilla reinhardtii
Anguilla australis,NA,Anguilliformes,Anguillidae,Actinopterygii,Osteichthyes,Anguilla australis
Threespine stickleback,NA,Gasterosteiformes,Gasterosteidae,Actinopterygii,NA,Gasterosteus aculeatus
Black bass,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Micropterus floridanus
Anguilla mossambica,NA,Anguilliformes,Anguillidae,Actinopterygii,Osteichthyes,Anguilla mossambica
Black crappie,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Hypseleotris sp. 5
Yellow perch,NA,Perciformes,Percidae,Actinopterygii,NA,Hypseleotris sp. 5
Smallmouth black bass,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Micropterus dolomieu
Perca fluviatilis,NA,Perciformes,Percidae,Actinopterygii,Osteichthyes,Perca fluviatilis
Brown trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Hypseleotris sp. 5
Pomoxis annularis rafinesque,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Hypseleotris sp. 5
Pygocentrus notatus,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Pygocentrus cariba
Serrasalmus irritans,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Serrasalmus irritans
Serrasalmus caribe,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Pygocentrus cariba
Serrasalmus rhombeus,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Serrasalmus rhombeus
Serrasalmus cf. elongatus,NA,Characiformes,Serrasalmidae,Actinopterygii,NA,Serrasalmus elongatus
Catoprion mento,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Catoprion mento
Salmo salar,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Hypseleotris sp. 5
Brook trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Hypseleotris sp. 5
Marcusenius senegalensis,NA,Osteoglossiformes,Mormyridae,Actinopterygii,Osteichthyes,Marcusenius senegalensis
Barbus intermedius,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Labeobarbus intermedius
Barbus intermedius,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Raiamas intermedius
Salvelinus alpinus,NA,Salmoniformes,Salmonidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Mastacembelus armatus,NA,Synbranchiformes,Mastacembelidae,Actinopterygii,Osteichthyes,Mastacembelus armatus
Mastacembelus pancalus,NA,Synbranchiformes,Mastacembelidae,Actinopterygii,Osteichthyes,Macrognathus pancalus
Mastacembelus aculeatus,NA,Synbranchiformes,Mastacembelidae,Actinopterygii,Osteichthyes,Macrognathus aculeatus
Round gobie,NA,Perciformes,Gobiidae,Actinopterygii,NA,Neogobius melanostomus
Chrysichthys nigrodigitatus,NA,Siluriformes,Claroteidae,Actinopterygii,Osteichthyes,Chrysichthys nigrodigitatus
Chrysichthys auratus,NA,Siluriformes,Claroteidae,Actinopterygii,Osteichthyes,Chrysichthys auratus
Hatcheria macraei,NA,Siluriformes,Trichomycteridae,Actinopterygii,Osteichthyes,Hatcheria macraei
Aequidens tetramerus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Aequidens tetramerus
Characidium aff. declivirostr,NA,Characiformes,Crenuchidae,Actinopterygii,NA,Characidium declivirostre
Leptocharacidium omospilus,NA,Characiformes,Crenuchidae,Actinopterygii,Osteichthyes,Leptocharacidium omospilus
Satanoperca pappaterra,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Stone loach,NA,Cypriniformes,Barbatula barbatula,Actinopteri,NA,Barbatula barbatula
Gudgeon,NA,Cypriniformes,Gobio gobio,Actinopteri,NA,Gobio gobio
Cichla temensis,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Cichla temensis
Cichla orinocensis,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Cichla orinocensis
Micropterus salmoides,NA,Perciformes,Centrarchidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Gagata youssoufi,NA,Siluriformes,Sisoridae,Actinopterygii,Osteichthyes,Gagata youssoufi
Ancistrus sp.,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Ancistrus sp.
Apareiodon sp.,NA,Characiformes,Parodontidae,Actinopterygii,NA,Apareiodon sp.
Astyanax aff. maximus,NA,Characiformes,Characidae,Actinopterygii,NA,Astyanax maximus
Hypostomus sp. 1,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Hypostomus sp. 1
Hypostomus sp. 2,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Hypostomus sp. 2
Ituglanis aff. amazonicus,NA,Siluriformes,Trichomycteridae,Actinopterygii,NA,Ituglanis amazonicum
Lasiancistrus schomburgkii,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Lasiancistrus schomburgkii
Leporellus cf. vittatus,NA,Characiformes,Anostomidae,Actinopterygii,NA,Leporellus vittatus
Hypomasticus pachycheilus,NA,Characiformes,Anostomidae,Actinopterygii,Osteichthyes,Hypomasticus pachycheilus
Hypomasticus sp.,NA,Characiformes,Anostomidae,Actinopterygii,NA,Hypomasticus sp.
Melanocharacidium sp.1,NA,Characiformes,Crenuchidae,Actinopterygii,NA,Melanocharacidium sp.1
Melanocharacidium cf. dispilomma,NA,Characiformes,Crenuchidae,Actinopterygii,NA,Melanocharacidium dispilomma
Siniperca chuatsi,NA,Perciformes,Percichthyidae,Actinopterygii,Osteichthyes,Siniperca chuatsi
Triportheus nematurus,NA,Characiformes,Triportheidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Arctic charr,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Hypseleotris sp. 5
Epiplatys senegalensis,NA,Cyprinodontiformes,Nothobranchiidae,Actinopterygii,Osteichthyes,Epiplatys spilargyreius
Oligosarcu jenynsii,NA,Characiformes,Characidae,Actinopterygii,NA,Oligosarcus jenynsii
Oligosarcu robustus,NA,Characiformes,Characidae,Actinopterygii,NA,Oligosarcus robustus
Acestrorhynchus pantaneiro,NA,Characiformes,Acestrorhynchidae,Actinopterygii,Osteichthyes,Acestrorhynchus pantaneiro
Lake whitefish,NA,Salmoniformes,Coregonus clupeaformis,Actinopteri,NA,Coregonus clupeaformis
Walleye,NA,Perciformes,Percidae,Actinopterygii,NA,Hypseleotris sp. 5
Aplocheilichthys normani,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,Osteichthyes,Poropanchax normani
Aplocheilichthys lamberti,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,Osteichthyes,Rhexipanchax lamberti
Neogobius melanostomus,NA,Perciformes,Gobiidae,Actinopterygii,Osteichthyes,Neogobius melanostomus
Gymnorhamphichthys rondoni,NA,Gymnotiformes,Rhamphichthyidae,Actinopterygii,Osteichthyes,Gymnorhamphichthys rondoni
Chela labauca,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Laubuka laubuca
Etroplus maculatus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Etroplus maculatus
Glossogobius giuris,NA,Perciformes,Gobiidae,Actinopterygii,Osteichthyes,Glossogobius giuris
Hemirhamphus limbatus,NA,Beloniformes,Hemiramphidae,Actinopterygii,Osteichthyes,Hyporhamphus limbatus
Puntius filamentosus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Dawkinsia filamentosa
Rasbora daniconius,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Rasbora daniconius
Tilapia rendalli,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Oreochromis niloticus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Oreochromis mossambicus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Danio malabaricus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Devario malabaricus
Amblypharyngodon melettinus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Amblypharyngodon melettinus
Esomus danrica,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Esomus danrica
Channel catfish,NA,Siluriformes,Ictalurus punctatus,Actinopteri,NA,Ictalurus punctatus
Blackbanded darter,NA,Perciformes,Percina nigrofasciata,Actinopteri,NA,Percina nigrofasciata
Barbus  nigrofasciatus,NA,Cypriniformes,Pethia nigrofasciata,Actinopteri,NA,Pethia nigrofasciata
Barbus  dorsalis,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Puntius dorsalis
Barbus  pleurotaenia,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Systomus pleurotaenia
Barbus  titteya,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Puntius titteya
Barbus  sarana,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Systomus sarana
Barbus  filamentosus,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Dawkinsia filamentosa
Barbus  bimaculatus,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Puntius bimaculatus
Rasbora  daniconius,NA,Cypriniformes,Rasbora daniconius,Actinopteri,NA,Rasbora daniconius
Rasbora  vaterifloris,NA,Cypriniformes,Rasboroides vaterifloris,Actinopteri,NA,Rasboroides vaterifloris
Garra  lampta,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Garra lamta
Noemocheilus  notostigma,NA,Cypriniformes,Nemacheilidae,Actinopterygii,NA,Noemocheilus notostigma
Aplocheilus  dayi,NA,Cyprinodontiformes,Aplocheilidae,Actinopterygii,NA,Aplocheilus  dayi
Xeneodon  cancila,NA,Beloniformes,Belonidae,Actinopterygii,NA,Xenentodon cancila
Mastacembelus  armatus,NA,Synbranchiformes,Mastacembelus armatus,Actinopteri,NA,Mastacembelus armatus
Belontia  signata,NA,Anabantiformes,Belontia signata,Actinopteri,NA,Belontia signata
Ophiocephalus  gaucha,NA,Perciformes,Channidae,Actinopterygii,NA,Channa gachua
Gobius  gram  mepomus,NA,Perciformes,Gobiidae,Actinopterygii,NA,Awaous grammepomus
Sicyopterus halei,NA,Perciformes,Gobiidae,Actinopterygii,Osteichthyes,Sicyopterus macrostetholepis
Chinhook salmon,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Oncorhynchus<U+00A0>tshawytscha
Etroplus suratensis,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Etroplus suratensis
Catla catla,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Gibelion catla
Labeo rohita,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Labeo rohita
Puntius dorsalis,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Puntius dorsalis
Carassius gibelio,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Carassius gibelio
Sorublm lima,NA,Siluriformes,Pimelodidae,Actinopterygii,NA,Sorubim lima
Plagioscion squamosissimus,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Hypseleotris sp. 5
Plagioscion sp.,NA,Perciformes,Sciaenidae,Actinopterygii,NA,Plagioscion sp.
Channa striata,NA,Perciformes,Channidae,Actinopterygii,Osteichthyes,Channa striata
Spined loach,NA,Cypriniformes,Cobitis taenia,Actinopteri,NA,Cobitis taenia
Chrysichthys furcatus,NA,Siluriformes,Claroteidae,Actinopterygii,Osteichthyes,Chrysichthys nigrodigitatus
African lungfish,NA,Lepidosireniformes,Protopterus aethiopicus,Dipnoi,NA,Protopterus aethiopicus
Eutropiichthys vacha,NA,Siluriformes,Schilbeidae,Actinopterygii,Osteichthyes,Eutropiichthys vacha
White  crappie,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Pomoxis annularis
Bluegill,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Hypseleotris sp. 5
Green  sunfish,NA,Centrarchiformes,Lepomis cyanellus,Actinopteri,NA,Lepomis cyanellus
Redear  sunfish,NA,Centrarchiformes,Lepomis microlophus,Actinopteri,NA,Lepomis microlophus
Longear  sunfish,NA,Centrarchiformes,Lepomis megalotis,Actinopteri,NA,Lepomis megalotis
Largemouth  bass,NA,Centrarchiformes,Micropterus salmoides,Actinopteri,NA,Micropterus salmoides
Black  crappie,NA,Centrarchiformes,Pomoxis nigromaculatus,Actinopteri,NA,Pomoxis nigromaculatus
Rainbow trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Hypseleotris sp. 5
Amblophiites rupestris,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Ambloplites rupestris
Fundulus diaphanus,NA,Cyprinodontiformes,Fundulidae,Actinopterygii,Osteichthyes,Fundulus diaphanus
Pimephales,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Pimephales sp.
Notemignus crysoleucas,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Notemigonus crysoleucas
Ictalurus nebulosus,NA,Siluriformes,Ictaluridae,Actinopterygii,Osteichthyes,Ameiurus nebulosus
Lepomis gibbosus macrochirus,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Lepomis sp.
Labidesthes sicculus,NA,Atheriniformes,Atherinopsidae,Actinopterygii,Osteichthyes,Labidesthes sicculus
Notropis heterodon,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Notropis heterodon
