"","fish_genus_species","predator_min_length","predator_max_length","predator_average_length","length_type","length_units","sample_size","start_year","start_month","start_day","end_year","end_month","end_day","habitat","measurement_type","measurement_units","author","year","journal","site_name","sampling_interval","citation","figure","fish_id","data_sorted_by","notes","prey_taxon","measurement","prey_stage","lon","lat"
"119","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","mayflies","<0.1","unknown","-84.8202942","30.7754334"
"120","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","mayflies","<0.1","unknown","-84.8202942","30.7754334"
"121","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","mayflies","0.1","unknown","-84.8202942","30.7754334"
"122","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","mayflies","3.3","unknown","-84.8202942","30.7754334"
"123","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","grass_shrimp","<0.1","unknown","-84.8202942","30.7754334"
"124","largemouth bass",NA,"203",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_2","fish size class and treatment","treatments was after reduction in Hydrilla Plants","grass_shrimp","0","unknown","-84.8202942","30.7754334"
"125","largemouth bass",NA,"303",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_3","fish size class and treatment","treatments was before reduction in Hydrilla Plants","grass_shrimp","<0.1","unknown","-84.8202942","30.7754334"
"126","largemouth bass",NA,"303",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_4","fish size class and treatment","treatments was after reduction in Hydrilla Plants","grass_shrimp","0.2","unknown","-84.8202942","30.7754334"
"127","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","grass_shrimp","0.6","unknown","-84.8202942","30.7754334"
"128","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","grass_shrimp","0.6","unknown","-84.8202942","30.7754334"
"129","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","grass_shrimp","10.5","unknown","-84.8202942","30.7754334"
"130","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","grass_shrimp","5.1","unknown","-84.8202942","30.7754334"
"131","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","crayfish","10.3","unknown","-84.8202942","30.7754334"
"132","largemouth bass",NA,"203",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_2","fish size class and treatment","treatments was after reduction in Hydrilla Plants","crayfish","6.5","unknown","-84.8202942","30.7754334"
"133","largemouth bass",NA,"303",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_3","fish size class and treatment","treatments was before reduction in Hydrilla Plants","crayfish","18.4","unknown","-84.8202942","30.7754334"
"134","largemouth bass",NA,"303",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_4","fish size class and treatment","treatments was after reduction in Hydrilla Plants","crayfish","24","unknown","-84.8202942","30.7754334"
"135","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","crayfish","28.9","unknown","-84.8202942","30.7754334"
"136","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","crayfish","8.7","unknown","-84.8202942","30.7754334"
"137","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","crayfish","-","unknown","-84.8202942","30.7754334"
"138","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","crayfish","-","unknown","-84.8202942","30.7754334"
"139","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","catfish","0.6","unknown","-84.8202942","30.7754334"
"140","largemouth bass",NA,"203",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_2","fish size class and treatment","treatments was after reduction in Hydrilla Plants","catfish","0","unknown","-84.8202942","30.7754334"
"141","largemouth bass",NA,"303",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_3","fish size class and treatment","treatments was before reduction in Hydrilla Plants","catfish","0.2","unknown","-84.8202942","30.7754334"
"142","largemouth bass",NA,"303",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_4","fish size class and treatment","treatments was after reduction in Hydrilla Plants","catfish","0","unknown","-84.8202942","30.7754334"
"143","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","catfish","0.1","unknown","-84.8202942","30.7754334"
"144","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","catfish","1.2","unknown","-84.8202942","30.7754334"
"145","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","catfish","-","unknown","-84.8202942","30.7754334"
"146","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","catfish","-","unknown","-84.8202942","30.7754334"
"147","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","shiners","3.9","unknown","-84.8202942","30.7754334"
"148","largemouth bass",NA,"203",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_2","fish size class and treatment","treatments was after reduction in Hydrilla Plants","shiners","0","unknown","-84.8202942","30.7754334"
"149","largemouth bass",NA,"303",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_3","fish size class and treatment","treatments was before reduction in Hydrilla Plants","shiners","3.3","unknown","-84.8202942","30.7754334"
"150","largemouth bass",NA,"303",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_4","fish size class and treatment","treatments was after reduction in Hydrilla Plants","shiners","0.2","unknown","-84.8202942","30.7754334"
"151","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","shiners","1.7","unknown","-84.8202942","30.7754334"
"152","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","shiners","0.7","unknown","-84.8202942","30.7754334"
"153","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","shiners","9","unknown","-84.8202942","30.7754334"
"154","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","shiners","5.6","unknown","-84.8202942","30.7754334"
"155","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","killifishes","-","unknown","-84.8202942","30.7754334"
"156","largemouth bass",NA,"203",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_2","fish size class and treatment","treatments was after reduction in Hydrilla Plants","killifishes","-","unknown","-84.8202942","30.7754334"
"157","largemouth bass",NA,"303",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_3","fish size class and treatment","treatments was before reduction in Hydrilla Plants","killifishes","0.3","unknown","-84.8202942","30.7754334"
"158","largemouth bass",NA,"303",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_4","fish size class and treatment","treatments was after reduction in Hydrilla Plants","killifishes","0","unknown","-84.8202942","30.7754334"
"159","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","killifishes","0.7","unknown","-84.8202942","30.7754334"
"160","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","killifishes","0.3","unknown","-84.8202942","30.7754334"
"161","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","killifishes","0.6","unknown","-84.8202942","30.7754334"
"162","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","killifishes","10.3","unknown","-84.8202942","30.7754334"
"163","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","large_cypriniformes","0","unknown","-84.8202942","30.7754334"
"164","largemouth bass",NA,"203",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_2","fish size class and treatment","treatments was after reduction in Hydrilla Plants","large_cypriniformes","39.7","unknown","-84.8202942","30.7754334"
"165","largemouth bass",NA,"303",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_3","fish size class and treatment","treatments was before reduction in Hydrilla Plants","large_cypriniformes","2.2","unknown","-84.8202942","30.7754334"
"166","largemouth bass",NA,"303",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_4","fish size class and treatment","treatments was after reduction in Hydrilla Plants","large_cypriniformes","0","unknown","-84.8202942","30.7754334"
"167","largemouth bass",NA,"380",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_5","fish size class and treatment","treatments was before reduction in Hydrilla Plants","large_cypriniformes","0.9","unknown","-84.8202942","30.7754334"
"168","largemouth bass",NA,"380",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_6","fish size class and treatment","treatments was after reduction in Hydrilla Plants","large_cypriniformes","0","unknown","-84.8202942","30.7754334"
"169","largemouth bass",NA,"507",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_7","fish size class and treatment","treatments was before reduction in Hydrilla Plants","large_cypriniformes","-","unknown","-84.8202942","30.7754334"
"170","largemouth bass",NA,"507",NA,"total","mm","10","2002","12","1","2003","3","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_8","fish size class and treatment","treatments was after reduction in Hydrilla Plants","large_cypriniformes","-","unknown","-84.8202942","30.7754334"
"171","largemouth bass",NA,"203",NA,"total","mm","10","2000","8","1","2001","2","1",NA,"weight","percent","Sammons","2006","Hydrobiologia","Lake Seminole, Chatahoochee Arm, Georgia","semi monthly","Sammons, S. M., & Maceina, M. J. (2006). Changes in diet and food consumption of largemouth bass following large-scale hydrilla reduction in Lake Seminole, Georgia. Hydrobiologia, 560(1), 109-120.","tbl4","20200115_sammons4_1","fish size class and treatment","treatments was before reduction in Hydrilla Plants","sunfishes","80.7","unknown","-84.8202942","30.7754334"
